rep_genome	genome	gtdb_r220_taxonomy	study	sample_id	Asia	Europe	Hadza	NorthAmerica	Tsimane	total_mag_count
CAG_273_sp003534295__Hadza_MoBio_hadza_A_D_D_21_1577	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_D_21_1577.51	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__CAG-273 sp003534295	Hadza	Hadza_MoBio_hadza-A-D_D_21_1577	3	9	12	10	17	51
CAG_452_sp900770415__Hadza_MoBio_hadza_A_D_E_17_1054	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_E_17_1054.173	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-452;s__CAG-452 sp900770415	Hadza	Hadza_MoBio_hadza-A-D_E_17_1054	1	0	23	0	5	29
HGM13618_sp900753975__Hadza_MoBio_hadza_A_D_G_6_1094	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_G_6_1094.205	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__UBA1234;g__HGM13618;s__HGM13618 sp900753975	Hadza	Hadza_MoBio_hadza-A-D_G_6_1094	0	1	29	0	5	35
Cryptobacteroides_sp900545245__Hadza_MoBio_hadza_A_D_H_24_1651	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_H_24_1651.292	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp900545245	Hadza	Hadza_MoBio_hadza-A-D_H_24_1651	0	1	66	0	18	85
UMGS1781_sp900553695__Hadza_MoBio_hadza_A_D_L_21_1526	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_L_21_1526.150	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__UMGS1781;s__UMGS1781 sp900553695	Hadza	Hadza_MoBio_hadza-A-D_L_21_1526	1	5	33	0	11	50
CAG_245_sp000434195__Hadza_MoBio_hadza_E_H_A_12_1819	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_A_12_1819.121	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-245;s__CAG-245 sp000434195	Hadza	Hadza_MoBio_hadza-E-H_A_12_1819	0	1	12	3	8	24
UMGS1781_sp900554635__Hadza_MoBio_hadza_E_H_E_15_1726	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_E_15_1726.324	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__UMGS1781;s__UMGS1781 sp900554635	Hadza	Hadza_MoBio_hadza-E-H_E_15_1726	0	0	31	0	7	38
Scybalousia_sp900542735__Hadza_MoBio_hadza_E_H_E_4_1847	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_E_4_1847.57	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__Scybalousia;s__Scybalousia sp900542735	Hadza	Hadza_MoBio_hadza-E-H_E_4_1847	6	2	38	4	4	54
CAG_492_sp000434015__Hadza_MoBio_hadza_E_H_G_19_1739	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_G_19_1739.73	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-492;s__CAG-492 sp000434015	Hadza	Hadza_MoBio_hadza-E-H_G_19_1739	2	0	11	1	4	18
Selenomonas_A_sp900769615__Hadza_MoBio_hadza_E_H_J_18_2314	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_J_18_2314.20	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas_A;s__Selenomonas_A sp900769615	Hadza	Hadza_MoBio_hadza-E-H_J_18_2314	0	0	38	0	18	56
UMGS1781_sp900553365__Hadza_MoBio_hadza_E_H_O_22_1935	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_O_22_1935.72	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__UMGS1781;s__UMGS1781 sp900553365	Hadza	Hadza_MoBio_hadza-E-H_O_22_1935	1	1	7	0	6	15
CAG_273_sp000437855__Hadza_MoBio_hadza_I_L_B_15_2660	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_B_15_2660.201	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__CAG-273 sp000437855	Hadza	Hadza_MoBio_hadza-I-L_B_15_2660	2	9	10	8	5	34
CAG_884_sp934179675__Hadza_PheChl_Fiber_Hadza_Nepal_C_12_2317	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_C_12_2317.174	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__RF39;f__UBA660;g__CAG-884;s__CAG-884 sp934179675	Hadza	Hadza_PheChl_Fiber-Hadza-Nepal_C_12_2317	0	0	34	0	5	39
Romboutsia_timonensis__Hadza_PheChl_Fiber_Hadza_Nepal_C_12_2317	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_C_12_2317.212	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__Romboutsia timonensis	Hadza	Hadza_PheChl_Fiber-Hadza-Nepal_C_12_2317	8	4	51	0	11	74
CAG_269_sp001916065__Hadza_PheChl_Fiber_Hadza_Nepal_C_24_1307	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_C_24_1307.254	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__CAG-269 sp001916065	Hadza	Hadza_PheChl_Fiber-Hadza-Nepal_C_24_1307	3	0	13	2	5	23
Sarcina_ventriculi__Hadza_PheChl_Fiber_Hadza_Nepal_E_12_1556	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_E_12_1556.417	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina;s__Sarcina ventriculi	Hadza	Hadza_PheChl_Fiber-Hadza-Nepal_E_12_1556	0	0	74	0	5	79
Vescimonas_sp934591815__Hadza_MoBio_C_REDO_D_2_1542	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_C-REDO_D_2_1542.181	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp934591815	Hadza	Hadza_MoBio_C-REDO_D_2_1542	1	0	10	0	6	17
Agathobacter_sp900548765__Hadza_MoBio_hadza_A_D_B_6_1603	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_B_6_1603.155	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter sp900548765	Hadza	Hadza_MoBio_hadza-A-D_B_6_1603	0	0	73	0	12	85
Dysosmobacter_segnis__Hadza_MoBio_hadza_A_D_E_17_1054	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_E_17_1054.215	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter segnis	Hadza	Hadza_MoBio_hadza-A-D_E_17_1054	6	21	60	43	63	193
UBA1206_sp000433115__Hadza_MoBio_hadza_A_D_E_6_1152	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_E_6_1152.135	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__UBA1206;s__UBA1206 sp000433115	Hadza	Hadza_MoBio_hadza-A-D_E_6_1152	1	5	55	2	28	91
Hominimerdicola_sp934435205__Hadza_MoBio_hadza_A_D_H_22_1650	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_H_22_1650.122	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Hominimerdicola;s__Hominimerdicola sp934435205	Hadza	Hadza_MoBio_hadza-A-D_H_22_1650	0	0	40	0	10	50
Vescimonas_sp900545495__Hadza_MoBio_hadza_A_D_K_6_1150	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_K_6_1150.114	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp900545495	Hadza	Hadza_MoBio_hadza-A-D_K_6_1150	0	2	65	0	34	101
SFIE01_sp004555405__Hadza_MoBio_hadza_A_D_O_4_1196	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_O_4_1196.321	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__SFIE01;s__SFIE01 sp004555405	Hadza	Hadza_MoBio_hadza-A-D_O_4_1196	0	0	61	0	26	87
Parabacteroides_sp934718155__Hadza_MoBio_hadza_A_D_O_4_1196	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_O_4_1196.89	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides sp934718155	Hadza	Hadza_MoBio_hadza-A-D_O_4_1196	0	0	54	0	9	63
Dorea_A_amylophila__Hadza_MoBio_hadza_E_H_B_8_2155	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_B_8_2155.154	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A amylophila	Hadza	Hadza_MoBio_hadza-E-H_B_8_2155	4	12	23	0	7	46
Faecousia_sp900553805__Hadza_MoBio_hadza_E_H_D_24_2201	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_D_24_2201.123	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900553805	Hadza	Hadza_MoBio_hadza-E-H_D_24_2201	0	0	25	0	8	33
Mediterraneibacter_faecis__Hadza_MoBio_hadza_E_H_E_1_1719	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_E_1_1719.148	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter faecis	Hadza	Hadza_MoBio_hadza-E-H_E_1_1719	17	14	30	5	32	98
Mediterraneibacter_sp934309345__Hadza_MoBio_hadza_E_H_G_21_1740	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_G_21_1740.190	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter sp934309345	Hadza	Hadza_MoBio_hadza-E-H_G_21_1740	0	0	78	0	7	85
Vescimonas_sp900548615__Hadza_MoBio_hadza_E_H_G_5_1733	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_G_5_1733.16	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp900548615	Hadza	Hadza_MoBio_hadza-E-H_G_5_1733	2	3	15	0	4	24
Blautia_A_obeum__Hadza_MoBio_hadza_E_H_I_1_1742	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_I_1_1742.91	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A obeum	Hadza	Hadza_MoBio_hadza-E-H_I_1_1742	0	4	13	2	4	23
Roseburia_inulinivorans__Hadza_MoBio_hadza_E_H_J_6_2308	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_J_6_2308.306	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia inulinivorans	Hadza	Hadza_MoBio_hadza-E-H_J_6_2308	67	34	81	25	17	224
Huintestinicola_butyrica__Hadza_MoBio_hadza_E_H_K_13_1776	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_K_13_1776.67	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Huintestinicola;s__Huintestinicola butyrica	Hadza	Hadza_MoBio_hadza-E-H_K_13_1776	7	15	41	13	10	86
Blautia_A_wexlerae__Hadza_MoBio_hadza_E_H_K_7_1773	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_K_7_1773.64	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	Hadza	Hadza_MoBio_hadza-E-H_K_7_1773	26	85	47	10	24	192
Neoclostridium_sp900555125__Hadza_MoBio_hadza_E_H_N_4_2332	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_N_4_2332.125	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Pumilibacteraceae;g__Neoclostridium;s__Neoclostridium sp900555125	Hadza	Hadza_MoBio_hadza-E-H_N_4_2332	0	1	23	1	10	35
Faecousia_sp905188045__Hadza_MoBio_hadza_E_H_P_21_2150	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_P_21_2150.322	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp905188045	Hadza	Hadza_MoBio_hadza-E-H_P_21_2150	0	0	6	0	4	10
Ruminococcus_C_callidus__Hadza_MoBio_hadza_I_L_I_4_2616	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_I_4_2616.123	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C callidus	Hadza	Hadza_MoBio_hadza-I-L_I_4_2616	11	13	30	4	17	75
Agathobaculum_hominis__Hadza_MoBio_hadza_I_L_I_4_2616	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_I_4_2616.179	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum hominis	Hadza	Hadza_MoBio_hadza-I-L_I_4_2616	3	5	75	0	55	138
CAG_103_sp900543625__Hadza_MoBio_hadza_I_L_K_19_2488	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_K_19_2488.147	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900543625	Hadza	Hadza_MoBio_hadza-I-L_K_19_2488	3	7	62	3	44	119
Huintestinicola_sp900768995__Hadza_MoBio_hadza_I_L_M_10_2632	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_M_10_2632.82	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Huintestinicola;s__Huintestinicola sp900768995	Hadza	Hadza_MoBio_hadza-I-L_M_10_2632	0	0	34	0	4	38
HGM13006_sp900756575__Hadza_MoBio_hadza_I_L_M_13_2496	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_M_13_2496.69	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__HGM13006;s__HGM13006 sp900756575	Hadza	Hadza_MoBio_hadza-I-L_M_13_2496	0	0	23	0	34	57
Limivicinus_sp900547315__Hadza_MoBio_hadza_I_L_M_1_2491	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_M_1_2491.24	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp900547315	Hadza	Hadza_MoBio_hadza-I-L_M_1_2491	1	8	44	0	26	79
Faecousia_sp003525905__Hadza_MoBio_hadza_I_L_O_11_2507	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_O_11_2507.38	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp003525905	Hadza	Hadza_MoBio_hadza-I-L_O_11_2507	7	7	11	5	14	44
CAG_170_sp002404795__Hadza_MoBio_hadza_I_L_O_5_2504	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_O_5_2504.9	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170 sp002404795	Hadza	Hadza_MoBio_hadza-I-L_O_5_2504	0	6	68	5	58	137
UMGS911_sp900546695__Hadza_PheChl_Fiber_Hadza_Nepal_E_10_1530	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_E_10_1530.24	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS911;s__UMGS911 sp900546695	Hadza	Hadza_PheChl_Fiber-Hadza-Nepal_E_10_1530	0	0	15	0	4	19
UMGS1225_sp900549725__Hadza_PheChl_Fiber_Hadza_Nepal_E_2_1315	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_E_2_1315.201	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS1225;s__UMGS1225 sp900549725	Hadza	Hadza_PheChl_Fiber-Hadza-Nepal_E_2_1315	0	0	42	0	34	76
Ruminococcus_F_champanellensis__Hadza_PheChl_Fiber_Hadza_Nepal_E_2_1315	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_E_2_1315.433	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_F;s__Ruminococcus_F champanellensis	Hadza	Hadza_PheChl_Fiber-Hadza-Nepal_E_2_1315	0	3	48	3	5	59
Faecousia_sp900549495__Hadza_MoBio_C_REDO_A_9_1509	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_C-REDO_A_9_1509.123	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900549495	Hadza	Hadza_MoBio_C-REDO_A_9_1509	0	0	40	0	15	55
Vescimonas_sp003539495__Hadza_MoBio_C_REDO_E_12_1563	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_C-REDO_E_12_1563.92	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp003539495	Hadza	Hadza_MoBio_C-REDO_E_12_1563	3	8	33	1	28	73
Faecousia_sp934589525__Hadza_MoBio_hadza_A_D_A_4_1104	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_A_4_1104.165	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp934589525	Hadza	Hadza_MoBio_hadza-A-D_A_4_1104	0	0	23	0	20	43
F23_B02_sp900556535__Hadza_MoBio_hadza_A_D_D_1_1586	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_D_1_1586.92	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__F23-B02;s__F23-B02 sp900556535	Hadza	Hadza_MoBio_hadza-A-D_D_1_1586	0	0	37	0	37	74
Hominicoprocola_sp003522105__Hadza_MoBio_hadza_A_D_E_17_1054	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_E_17_1054.151	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola sp003522105	Hadza	Hadza_MoBio_hadza-A-D_E_17_1054	0	6	12	1	7	26
Vescimonas_sp900552725__Hadza_MoBio_hadza_A_D_F_8_1631	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_F_8_1631.201	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp900552725	Hadza	Hadza_MoBio_hadza-A-D_F_8_1631	0	2	19	0	7	28
Faecousia_sp900540635__Hadza_MoBio_hadza_A_D_G_8_1096	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_G_8_1096.106	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900540635	Hadza	Hadza_MoBio_hadza-A-D_G_8_1096	6	1	32	0	17	56
Dysosmobacter_sp004553545__Hadza_MoBio_hadza_A_D_J_19_1543	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_J_19_1543.61	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp004553545	Hadza	Hadza_MoBio_hadza-A-D_J_19_1543	0	0	42	0	29	71
Vescimonas_sp900545585__Hadza_MoBio_hadza_A_D_J_23_1541	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_J_23_1541.42	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp900545585	Hadza	Hadza_MoBio_hadza-A-D_J_23_1541	4	9	10	6	9	38
Limivicinus_sp003150355__Hadza_MoBio_hadza_A_D_J_23_1541	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_J_23_1541.69	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp003150355	Hadza	Hadza_MoBio_hadza-A-D_J_23_1541	1	1	47	1	18	68
Hominicoprocola_sp900556145__Hadza_MoBio_hadza_A_D_K_12_1156	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_K_12_1156.233	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola sp900556145	Hadza	Hadza_MoBio_hadza-A-D_K_12_1156	0	0	19	0	8	27
Limivicinus_sp934573735__Hadza_MoBio_hadza_A_D_L_11_1531	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_L_11_1531.83	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Limivicinus;s__Limivicinus sp934573735	Hadza	Hadza_MoBio_hadza-A-D_L_11_1531	0	0	24	0	9	33
Faecousia_sp900763965__Hadza_MoBio_hadza_A_D_M_24_1194	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_M_24_1194.261	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp900763965	Hadza	Hadza_MoBio_hadza-A-D_M_24_1194	0	0	22	0	37	59
Vescimonas_sp900554275__Hadza_MoBio_hadza_A_D_N_9_1519	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_N_9_1519.136	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp900554275	Hadza	Hadza_MoBio_hadza-A-D_N_9_1519	0	2	49	0	20	71
Vescimonas_cirricatena__Hadza_MoBio_hadza_A_D_P_1_1512	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_P_1_1512.179	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas cirricatena	Hadza	Hadza_MoBio_hadza-A-D_P_1_1512	19	24	20	10	23	96
Vescimonas_sp900757415__Hadza_MoBio_hadza_E_H_A_15_1703	REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_A_15_1703.170	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas;s__Vescimonas sp900757415	Hadza	Hadza_MoBio_hadza-E-H_A_15_1703	0	0	5	0	10	15
